"","Subcounty","DryingRack_Coverage"
"1","bukhalu",63.5948129251701
"2","bulegeni",82.6996378883171
"3","buluganya",80.5128205128205
"4","bumufuni",53.1647136031464
"5","bumugibole",87.5535375998682
"6","bunambutye",33.5185185185185
"7","bwikhonge",69.1068046223802
"8","kamu",75.5329478428474
"9","lusha",91.5272533254228
"10","muyembe",55.6836105708286
"11","nabongo",56.2248652348764
"12","namisuni",76.9112822707175
"13","simu",63.5940516441439
"14","sisiyi",85.4142712221136
"15","sotti",86.0754263767496
