"","Subcounty","Q1_Latrine_Coverage"
"1","bukhalu",82.9081632653061
"2","bulegeni",93.7916904898037
"3","buluganya",71.2820512820513
"4","bumufuni",86.2542256665391
"5","bumugibole",82.788176426983
"6","bunambutye",68.2098765432099
"7","bwikhonge",91.2426502797984
"8","kamu",92.5727866904337
"9","lusha",100.447647123048
"10","muyembe",87.2453011550756
"11","nabongo",67.6449616382876
"12","namisuni",83.3707744972187
"13","simu",91.5276992651215
"14","sisiyi",99.3488867313182
"15","sotti",95.1302196059209
